OpenROAD b57893514040c5aa453ab5c104f35d1173a8add9 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO CTS-0049] Characterization buffer is: BUF_X4.
[INFO CTS-0039] Number of created patterns = 11880.
[INFO CTS-0084] Compiling LUT.
Min. len    Max. len    Min. cap    Max. cap    Min. slew   Max. slew
2           8           1           34          1           14          
[WARNING CTS-0043] 1584 wires are pure wire and no slew degradation.
TritonCTS forced slew degradation on these wires.
[INFO CTS-0046]     Number of wire segments: 11880.
[INFO CTS-0047]     Number of keys in characterization LUT: 1600.
[INFO CTS-0048]     Actual min input cap: 1.
[INFO CTS-0007] Net "clk_i" found for clock "clk".
[INFO CTS-0010]  Clock net "clk_i" has 34 sinks.
[INFO CTS-0010]  Clock net "_18787_" has 64 sinks.
[WARNING CTS-0041] Net "net1575" has 1 sinks. Skipping...
[INFO CTS-0010]  Clock net "gen_sub_units_scm\[11\].sub_unit_i.gen_cg_word_iter\[2\].cg_i.clk_o" has 16 sinks.
[WARNING CTS-0041] Net "net1574" has 1 sinks. Skipping...
[INFO CTS-0010]  Clock net "gen_sub_units_scm\[11\].sub_unit_i.gen_cg_word_iter\[1\].cg_i.clk_o" has 16 sinks.
[WARNING CTS-0041] Net "net1573" has 1 sinks. Skipping...
[INFO CTS-0010]  Clock net "gen_sub_units_scm\[11\].sub_unit_i.gen_cg_word_iter\[0\].cg_i.clk_o" has 16 sinks.
[WARNING CTS-0041] Net "net1572" has 1 sinks. Skipping...
[WARNING CTS-0041] Net "net1571" has 1 sinks. Skipping...
[WARNING CTS-0041] Net "net1570" has 1 sinks. Skipping...
[WARNING CTS-0041] Net "net1569" has 1 sinks. Skipping...
[WARNING CTS-0041] Net "net1568" has 1 sinks. Skipping...
[WARNING CTS-0041] Net "net1567" has 1 sinks. Skipping...
[WARNING CTS-0041] Net "net1566" has 1 sinks. Skipping...
[WARNING CTS-0041] Net "net1565" has 1 sinks. Skipping...
[WARNING CTS-0041] Net "net1564" has 1 sinks. Skipping...
[WARNING CTS-0041] Net "net1563" has 1 sinks. Skipping...
